Species,Harvest,Hunters,Days
Jefferson,0,0,0
King,9,11,17
Kitsap,0,0,0
Kittitas,4,7,6
Klickitat,0,0,0
Lewis,3,7,4
Lincoln,0,0,0
Mason,0,0,0
Okanogan,0,0,0
Pacific,0,0,0
Pend Oreille,0,0,0
Pierce,0,0,0
San Juan,0,0,0
Skagit,124,18,30
Skamania,0,0,0
Snohomish,72,21,74
Spokane,3,7,5
Stevens,0,0,0
Thurston,7,8,7
Wahkiakum,0,0,0
Walla Walla,7,10,8
Whatcom,11,10,12
Whitman,4,9,15
Yakima,8,13,11
Adams,0,0,0
Asotin,8,10,10
Benton,0,0,0
Chelan,12,15,56
Clallam,2,10,12
Clark,0,0,0
Columbia,0,0,0
Cowlitz,0,0,0
Douglas,0,0,0
Ferry,21,24,274
Franklin,0,0,0
Garfield,0,0,0
Grant,0,0,0
Grays Harbor,2,8,6
Island,0,0,0
Jefferson,2,10,9
King,3,9,13
Kitsap,2,8,12
Kittitas,18,27,69
Klickitat,0,0,0
Lewis,5,10,21
Lincoln,5,8,12
Mason,3,10,11
Okanogan,138,67,432
Pacific,0,0,0
Pend Oreille,29,42,302
Pierce,2,12,8
San Juan,0,0,0
Skagit,4,11,11
Skamania,5,9,32
Snohomish,0,0,0
Spokane,6,14,29
Stevens,24,40,167
Thurston,0,0,0
Wahkiakum,0,0,0
Walla Walla,0,0,0
Whatcom,6,15,36
Whitman,0,0,0
Yakima,32,30,169
